,stateid,timeid,dose1,dose2
1772,OR,71.0,579843,528246
1773,OR,72.0,775923,304348
1774,OR,73.0,1110910,232040
1775,OR,74.0,1250972,322072
1776,PB,1.0,0,0
1777,PB,2.0,0,0
1778,PB,3.0,0,0
1779,PB,4.0,0,0
1780,PB,5.0,0,0
1781,PB,6.0,0,0
1782,PB,7.0,0,0
1783,PB,8.0,0,0
1784,PB,9.0,0,0
1785,PB,10.0,0,0
1786,PB,11.0,0,0
1787,PB,12.0,0,0
1788,PB,13.0,0,0
1789,PB,14.0,0,0
1790,PB,15.0,0,0
1791,PB,16.0,0,0
1792,PB,17.0,0,0
1793,PB,18.0,0,0
1794,PB,19.0,0,0
1795,PB,20.0,0,0
1796,PB,21.0,0,0
1797,PB,22.0,0,0
1798,PB,23.0,0,0
1799,PB,24.0,0,0
1800,PB,25.0,0,0
1801,PB,26.0,0,0
1802,PB,27.0,0,0
1803,PB,28.0,0,0
1804,PB,29.0,0,0
1805,PB,30.0,0,0
1806,PB,31.0,0,0
1807,PB,32.0,0,0
1808,PB,33.0,0,0
1809,PB,34.0,0,0
1810,PB,35.0,0,0
1811,PB,36.0,0,0
1812,PB,37.0,0,0
1813,PB,38.0,0,0
1814,PB,39.0,0,0
1815,PB,40.0,0,0
1816,PB,41.0,0,0
1817,PB,42.0,0,0
1818,PB,43.0,0,0
1819,PB,44.0,339,0
1820,PB,45.0,16180,0
1821,PB,46.0,29129,0
1822,PB,47.0,18751,0
1823,PB,48.0,27589,62
1824,PB,49.0,24720,12229
1825,PB,50.0,32491,20203
1826,PB,51.0,59316,13338
1827,PB,52.0,85862,18972
1828,PB,53.0,151231,19958
1829,PB,54.0,207963,16206
1830,PB,55.0,380030,17945
1831,PB,56.0,584632,32394
1832,PB,57.0,527457,55250
1833,PB,58.0,470970,101050
1834,PB,59.0,405841,135508
1835,PB,60.0,251366,142759
1836,PB,61.0,215032,120393
1837,PB,62.0,154749,20148
1838,PB,63.0,163372,35310
1839,PB,64.0,272281,31263
1840,PB,65.0,290780,24039
1841,PB,66.0,165350,33066
1842,PB,67.0,611485,117069
1843,PB,68.0,564016,216170
1844,PB,69.0,334440,158426
1845,PB,70.0,440082,208682
1846,PB,71.0,234134,199921
1847,PB,72.0,472618,212914
1848,PB,73.0,668889,239647
1849,PB,74.0,544924,315711
1850,PY,1.0,0,0
1851,PY,2.0,0,0
1852,PY,3.0,0,0
1853,PY,4.0,0,0
1854,PY,5.0,0,0
1855,PY,6.0,0,0
1856,PY,7.0,0,0
1857,PY,8.0,0,0
1858,PY,9.0,0,0
1859,PY,10.0,0,0
1860,PY,11.0,0,0
1861,PY,12.0,0,0
1862,PY,13.0,0,0
1863,PY,14.0,0,0
1864,PY,15.0,0,0
1865,PY,16.0,0,0
1866,PY,17.0,0,0
1867,PY,18.0,0,0
1868,PY,19.0,0,0
1869,PY,20.0,0,0
1870,PY,21.0,0,0
1871,PY,22.0,0,0
1872,PY,23.0,0,0
1873,PY,24.0,0,0
1874,PY,25.0,0,0
1875,PY,26.0,0,0
1876,PY,27.0,0,0
1877,PY,28.0,0,0
1878,PY,29.0,0,0
1879,PY,30.0,0,0
1880,PY,31.0,0,0
1881,PY,32.0,0,0
1882,PY,33.0,0,0
1883,PY,34.0,0,0
1884,PY,35.0,0,0
1885,PY,36.0,0,0
1886,PY,37.0,0,0
1887,PY,38.0,0,0
1888,PY,39.0,0,0
1889,PY,40.0,0,0
1890,PY,41.0,0,0
1891,PY,42.0,0,0
1892,PY,43.0,0,0
1893,PY,44.0,91,0
1894,PY,45.0,697,0
1895,PY,46.0,1203,0
1896,PY,47.0,895,0
1897,PY,48.0,2202,48
1898,PY,49.0,3638,645
1899,PY,50.0,1021,375
1900,PY,51.0,4668,984
1901,PY,52.0,8145,1351
1902,PY,53.0,14590,1787
1903,PY,54.0,17329,885
1904,PY,55.0,17832,1280
1905,PY,56.0,12729,1883
1906,PY,57.0,62153,3889
1907,PY,58.0,10217,5917
1908,PY,59.0,7909,8976
1909,PY,60.0,6010,10538
1910,PY,61.0,5851,10155
1911,PY,62.0,10247,405
1912,PY,63.0,17850,280
1913,PY,64.0,21649,513
1914,PY,65.0,35886,1184
1915,PY,66.0,78806,3058
